"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 07 07:33:39 GMT 2022","Thu Jul 07 07:33:39 GMT 2022","538","","MainWebServiceTest","","MainWebServiceTest","webServiceTestNotFountAtBlondeSite","repetition 3 of 5","Running a REST test to check the connection with bad URL, if response code is 404, the page not found"
"passed","Thu Jul 07 07:33:37 GMT 2022","Thu Jul 07 07:33:37 GMT 2022","498","","MainWebServiceTest","","MainWebServiceTest","webServiceTestOkAtBlondeSite","repetition 4 of 5","Running a REST test to check the connection with correct URL, if response code is 200, the connection was established"
"passed","Thu Jul 07 07:35:35 GMT 2022","Thu Jul 07 07:35:42 GMT 2022","6822","","MainWorkWithDataTest","","MainWorkWithDataTest","savingImageFromBlondeSite","savingImageFromBlondeSite()","Save an image from subpage"
"passed","Thu Jul 07 07:33:34 GMT 2022","Thu Jul 07 07:33:36 GMT 2022","1920","","MainWebServiceTest","","MainWebServiceTest","webServiceTestOkAtBlondeSite","repetition 1 of 5","Running a REST test to check the connection with correct URL, if response code is 200, the connection was established"
"passed","Thu Jul 07 07:33:36 GMT 2022","Thu Jul 07 07:33:37 GMT 2022","546","","MainWebServiceTest","","MainWebServiceTest","webServiceTestOkAtBlondeSite","repetition 3 of 5","Running a REST test to check the connection with correct URL, if response code is 200, the connection was established"
"passed","Thu Jul 07 07:35:54 GMT 2022","Thu Jul 07 07:35:59 GMT 2022","5770","","MainWorkWithDataTest","","MainWorkWithDataTest","orderedListTestOnBlondeSite","orderedListTestOnBlondeSite()","Read <li> elements from <ol> ordered list, and check the result"
"failed","Thu Jul 07 07:35:09 GMT 2022","Thu Jul 07 07:35:16 GMT 2022","7019","","MainWorkWithDataTest","","MainWorkWithDataTest","fillContactFromTxtFileOnBlondeSite","fillContactFromTxtFileOnBlondeSite()","Fill all contact field from TXT file, and send Submit button"
"passed","Thu Jul 07 07:32:34 GMT 2022","Thu Jul 07 07:33:12 GMT 2022","38502","","MainUserManagementTest","","MainUserManagementTest","registerFromJSONFileToBlondeSite","registerFromJSONFileToBlondeSite()","Register five users and check appearing message after every register"
"passed","Thu Jul 07 07:34:43 GMT 2022","Thu Jul 07 07:34:51 GMT 2022","8050","","MainControlSiteTest","","MainControlSiteTest","tagsOnBlondeSite","tagsOnBlondeSite()","Click on all tags  at subpage and check titles"
"passed","Thu Jul 07 07:32:11 GMT 2022","Thu Jul 07 07:32:17 GMT 2022","6001","","MainUserManagementTest","","MainUserManagementTest","acceptContractOnBlondeSite","acceptContractOnBlondeSite()","Accept the 'Terms and Conditions' popup window"
"failed","Thu Jul 07 07:35:16 GMT 2022","Thu Jul 07 07:35:23 GMT 2022","6859","","MainWorkWithDataTest","","MainWorkWithDataTest","fillContactOnBlondeSite","fillContactOnBlondeSite()","Fill all contact field from defined strings, and send Submit button"
"passed","Thu Jul 07 07:34:51 GMT 2022","Thu Jul 07 07:34:57 GMT 2022","5718","","MainControlSiteTest","","MainControlSiteTest","cssStyleOnBlondeSite","cssStyleOnBlondeSite()","Click on 'moon' button and check the result (button and class name changing)"
"failed","Thu Jul 07 07:29:57 GMT 2022","Thu Jul 07 07:30:20 GMT 2022","22921","","MainUserManagementTest","","MainUserManagementTest","deleteAccountFromBlondeSite","deleteAccountFromBlondeSite()","Delete account data and check result"
"passed","Thu Jul 07 07:35:23 GMT 2022","Thu Jul 07 07:35:29 GMT 2022","6429","","MainWorkWithDataTest","","MainWorkWithDataTest","deleteInputFromContactOnBlondeSite","deleteInputFromContactOnBlondeSite()","Fill and delete contact fields and check warning message"
"passed","Thu Jul 07 07:33:40 GMT 2022","Thu Jul 07 07:33:41 GMT 2022","491","","MainWebServiceTest","","MainWebServiceTest","webServiceTestNotFountAtBlondeSite","repetition 5 of 5","Running a REST test to check the connection with bad URL, if response code is 404, the page not found"
"failed","Thu Jul 07 07:35:59 GMT 2022","Thu Jul 07 07:36:34 GMT 2022","34611","","MainWorkWithDataTest","","MainWorkWithDataTest","searchOnBlondeSite","searchOnBlondeSite()","Search with defined strings and check result"
"passed","Thu Jul 07 07:30:20 GMT 2022","Thu Jul 07 07:30:32 GMT 2022","11555","","MainUserManagementTest","","MainUserManagementTest","registerToBlondeSite","registerToBlondeSite()","Register one user and check appearing message after register"
"failed","Thu Jul 07 07:36:34 GMT 2022","Thu Jul 07 07:36:46 GMT 2022","12309","","MainWorkWithDataTest","","MainWorkWithDataTest","fillContactFromJSONFileOnBlondeSite","fillContactFromJSONFileOnBlondeSite()","Fill all contact field from JSON file, and send Submit button"
"passed","Thu Jul 07 07:32:05 GMT 2022","Thu Jul 07 07:32:11 GMT 2022","5975","","MainUserManagementTest","","MainUserManagementTest","closeContractOnBlondeSite","closeContractOnBlondeSite()","Close the Terms and Conditions popup window"
"passed","Thu Jul 07 07:33:38 GMT 2022","Thu Jul 07 07:33:38 GMT 2022","481","","MainWebServiceTest","","MainWebServiceTest","webServiceTestNotFountAtBlondeSite","repetition 1 of 5","Running a REST test to check the connection with bad URL, if response code is 404, the page not found"
"passed","Thu Jul 07 07:33:36 GMT 2022","Thu Jul 07 07:33:36 GMT 2022","563","","MainWebServiceTest","","MainWebServiceTest","webServiceTestOkAtBlondeSite","repetition 2 of 5","Running a REST test to check the connection with correct URL, if response code is 200, the connection was established"
"passed","Thu Jul 07 07:31:42 GMT 2022","Thu Jul 07 07:32:05 GMT 2022","22380","","MainUserManagementTest","","MainUserManagementTest","modifyDataOnBlondeSite","modifyDataOnBlondeSite()","Modiiy profile data and check result"
"passed","Thu Jul 07 07:33:12 GMT 2022","Thu Jul 07 07:33:34 GMT 2022","21803","","MainUserManagementTest","","MainUserManagementTest","logoutFromBlondeSite","logoutFromBlondeSite()","Logout from site and check result"
"failed","Thu Jul 07 07:35:29 GMT 2022","Thu Jul 07 07:35:35 GMT 2022","6005","","MainWorkWithDataTest","","MainWorkWithDataTest","saveTextFromBlondeSite","saveTextFromBlondeSite()","Saving Text from the Blonde Site"
"passed","Thu Jul 07 07:33:38 GMT 2022","Thu Jul 07 07:33:39 GMT 2022","553","","MainWebServiceTest","","MainWebServiceTest","webServiceTestNotFountAtBlondeSite","repetition 2 of 5","Running a REST test to check the connection with bad URL, if response code is 404, the page not found"
"passed","Thu Jul 07 07:33:39 GMT 2022","Thu Jul 07 07:33:40 GMT 2022","529","","MainWebServiceTest","","MainWebServiceTest","webServiceTestNotFountAtBlondeSite","repetition 4 of 5","Running a REST test to check the connection with bad URL, if response code is 404, the page not found"
"passed","Thu Jul 07 07:30:32 GMT 2022","Thu Jul 07 07:31:42 GMT 2022","70477","","MainUserManagementTest","","MainUserManagementTest","loginFromJSONFileToBlondeSite","loginFromJSONFileToBlondeSite()","Login with five users and check result"
"passed","Thu Jul 07 07:34:57 GMT 2022","Thu Jul 07 07:35:09 GMT 2022","11909","","MainControlSiteTest","","MainControlSiteTest","linksOnBlondeSite","linksOnBlondeSite()","Click on all links at subpage and check titles"
"passed","Thu Jul 07 07:32:17 GMT 2022","Thu Jul 07 07:32:33 GMT 2022","16691","","MainUserManagementTest","","MainUserManagementTest","loginToBlondeSite","loginToBlondeSite()","Login with one user and check result"
"passed","Thu Jul 07 07:35:42 GMT 2022","Thu Jul 07 07:35:48 GMT 2022","5980","","MainWorkWithDataTest","","MainWorkWithDataTest","tablesNameTestOnBlondeSite","tablesNameTestOnBlondeSite()","Check first table's Name column (array)"
"passed","Thu Jul 07 07:33:37 GMT 2022","Thu Jul 07 07:33:38 GMT 2022","506","","MainWebServiceTest","","MainWebServiceTest","webServiceTestOkAtBlondeSite","repetition 5 of 5","Running a REST test to check the connection with correct URL, if response code is 200, the connection was established"
"passed","Thu Jul 07 07:35:48 GMT 2022","Thu Jul 07 07:35:54 GMT 2022","5715","","MainWorkWithDataTest","","MainWorkWithDataTest","tablesAgeTestOnBlondeSite","tablesAgeTestOnBlondeSite()","Check first table's Age column (array)"
"passed","Thu Jul 07 07:33:41 GMT 2022","Thu Jul 07 07:34:43 GMT 2022","62473","","MainControlSiteTest","","MainControlSiteTest","pagesOnBlondeSite","pagesOnBlondeSite()","Click on next page buttons  at subpage and check titles"
